2023-07-19 10:16:28,130 INFO    StreamThr :981010 [internal.py:wandb_internal():86] W&B internal server running at pid: 981010, started at: 2023-07-19 10:16:28.130031
2023-07-19 10:16:28,131 DEBUG   HandlerThread:981010 [handler.py:handle_request():144] handle_request: status
2023-07-19 10:16:28,132 INFO    WriterThread:981010 [datastore.py:open_for_write():85] open: /home/nmduy/HADA/chau/HADA-LAVIS/wandb/run-20230719_101628-vkgggvk5/run-vkgggvk5.wandb
2023-07-19 10:16:28,133 DEBUG   SenderThread:981010 [sender.py:send():369] send: header
2023-07-19 10:16:28,133 DEBUG   SenderThread:981010 [sender.py:send():369] send: run
2023-07-19 10:16:28,799 INFO    SenderThread:981010 [dir_watcher.py:__init__():211] watching files in: /home/nmduy/HADA/chau/HADA-LAVIS/wandb/run-20230719_101628-vkgggvk5/files
2023-07-19 10:16:28,799 INFO    SenderThread:981010 [sender.py:_start_run_threads():1100] run started: vkgggvk5 with start time 1689758188.129586
2023-07-19 10:16:28,799 DEBUG   SenderThread:981010 [sender.py:send_request():396] send_request: summary_record
2023-07-19 10:16:28,799 INFO    SenderThread:981010 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-19 10:16:28,802 DEBUG   HandlerThread:981010 [handler.py:handle_request():144] handle_request: check_version
2023-07-19 10:16:28,802 DEBUG   SenderThread:981010 [sender.py:send_request():396] send_request: check_version
2023-07-19 10:16:28,883 DEBUG   HandlerThread:981010 [handler.py:handle_request():144] handle_request: run_start
2023-07-19 10:16:28,889 DEBUG   HandlerThread:981010 [system_info.py:__init__():31] System info init
2023-07-19 10:16:28,889 DEBUG   HandlerThread:981010 [system_info.py:__init__():46] System info init done
2023-07-19 10:16:28,889 INFO    HandlerThread:981010 [system_monitor.py:start():181] Starting system monitor
2023-07-19 10:16:28,889 INFO    SystemMonitor:981010 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-19 10:16:28,889 INFO    HandlerThread:981010 [system_monitor.py:probe():201] Collecting system info
2023-07-19 10:16:28,889 INFO    SystemMonitor:981010 [interfaces.py:start():190] Started cpu monitoring
2023-07-19 10:16:28,890 INFO    SystemMonitor:981010 [interfaces.py:start():190] Started disk monitoring
2023-07-19 10:16:28,891 INFO    SystemMonitor:981010 [interfaces.py:start():190] Started gpu monitoring
2023-07-19 10:16:28,891 INFO    SystemMonitor:981010 [interfaces.py:start():190] Started memory monitoring
2023-07-19 10:16:28,892 INFO    SystemMonitor:981010 [interfaces.py:start():190] Started network monitoring
2023-07-19 10:16:28,917 DEBUG   HandlerThread:981010 [system_info.py:probe():195] Probing system
2023-07-19 10:16:28,918 DEBUG   HandlerThread:981010 [system_info.py:_probe_git():180] Probing git
